 minimum eigenvalues =   4.083839407946686E-007  4.442708756298749E-007
  5.097830153459833E-007
 maximum eigenvalues =   3.373783201876297E-002  2.415692023060537E-002
  1.010673374372872E-002
 num eigs kept =           87
 minimum eigenvalues =   4.083839407946686E-007  4.442708756298749E-007
  5.097830153459833E-007
 maximum eigenvalues =   3.373783201876297E-002  2.415692023060537E-002
  1.010673374372872E-002
 num eigs kept =           87
 iter     1 lrate =  0.0500000000 LL =   4.0203979752 nd =  0.0525371157, D =   0.31131E-01  0.31131E-01  (  7.29 s,   0.4 h)
 iter   180 lrate =  1.0000000000 LL =   4.6849999612 nd =  0.0004396099, D =   0.62291E+01  0.62291E+01  (  5.66 s,   0.0 h)
 iter   181 lrate =  1.0000000000 LL =   4.6850674569 nd =  0.0004361980, D =   0.62317E+01  0.62317E+01  ( 13.31 s,   0.1 h)
 iter   182 lrate =  1.0000000000 LL =   4.6851334506 nd =  0.0004381664, D =   0.62340E+01  0.62340E+01  (  6.37 s,   0.0 h)
 iter   183 lrate =  1.0000000000 LL =   4.6851997608 nd =  0.0004354499, D =   0.62366E+01  0.62366E+01  (  4.98 s,   0.0 h)
 iter   184 lrate =  1.0000000000 LL =   4.6852650974 nd =  0.0004342925, D =   0.62388E+01  0.62388E+01  (  4.80 s,   0.0 h)
 iter   185 lrate =  1.0000000000 LL =   4.6853311941 nd =  0.0004344224, D =   0.62413E+01  0.62413E+01  (  3.98 s,   0.0 h)
 iter   186 lrate =  1.0000000000 LL =   4.6853952384 nd =  0.0004343611, D =   0.62434E+01  0.62434E+01  (  4.28 s,   0.0 h)
 iter   187 lrate =  1.0000000000 LL =   4.6854604880 nd =  0.0004291929, D =   0.62459E+01  0.62459E+01  (  4.76 s,   0.0 h)
 iter   188 lrate =  1.0000000000 LL =   4.6855237584 nd =  0.0004293829, D =   0.62480E+01  0.62480E+01  (  4.86 s,   0.0 h)
 iter   189 lrate =  1.0000000000 LL =   4.6855874440 nd =  0.0004273888, D =   0.62505E+01  0.62505E+01  (  4.85 s,   0.0 h)
 iter   190 lrate =  1.0000000000 LL =   4.6856491997 nd =  0.0004251599, D =   0.62526E+01  0.62526E+01  (  5.39 s,   0.0 h)
 iter   191 lrate =  1.0000000000 LL =   4.6857118610 nd =  0.0004250088, D =   0.62552E+01  0.62552E+01  ( 11.85 s,   0.0 h)
 iter   192 lrate =  1.0000000000 LL =   4.6857715363 nd =  0.0004245829, D =   0.62573E+01  0.62573E+01  (  4.88 s,   0.0 h)
 iter   193 lrate =  1.0000000000 LL =   4.6858317034 nd =  0.0004201986, D =   0.62598E+01  0.62598E+01  (  4.54 s,   0.0 h)
 iter   194 lrate =  1.0000000000 LL =   4.6858905338 nd =  0.0004189257, D =   0.62619E+01  0.62619E+01  (  4.42 s,   0.0 h)
 iter   195 lrate =  1.0000000000 LL =   4.6859491811 nd =  0.0004166372, D =   0.62644E+01  0.62644E+01  (  4.93 s,   0.0 h)
 iter   196 lrate =  1.0000000000 LL =   4.6860045216 nd =  0.0004137424, D =   0.62665E+01  0.62665E+01  (  4.64 s,   0.0 h)
 iter   197 lrate =  1.0000000000 LL =   4.6860590110 nd =  0.0004130968, D =   0.62692E+01  0.62692E+01  (  4.36 s,   0.0 h)
 iter   198 lrate =  1.0000000000 LL =   4.6861103220 nd =  0.0004135292, D =   0.62714E+01  0.62714E+01  (  4.44 s,   0.0 h)
 iter   199 lrate =  1.0000000000 LL =   4.6861624148 nd =  0.0004079475, D =   0.62739E+01  0.62739E+01  (  4.70 s,   0.0 h)
 iter   200 lrate =  1.0000000000 LL =   4.6862134370 nd =  0.0004058886, D =   0.62761E+01  0.62761E+01  (  4.57 s,   0.0 h)
... done. Execution time:   0.42 h 
output directory = C:\vr_tsst_2025\pipelines\02_matlab_cleaning\amicaouttmp_22\
